108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
108,66,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,67,108
108,86,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,84,108
108,86,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,84,108
108,86,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,84,108
108,86,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,84,108
108,86,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,84,108
108,86,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,84,108
108,86,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,84,108
108,86,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,84,108
108,86,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,84,108
108,86,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,84,108
108,87,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,88,108
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108
